Dataset	Group_of_genes	GO.ID	Term	Annotated	Significant	Expected	classicFisher
Bivalvia	Group_1_+_Group_2	GO:0033979	box_H/ACA_sno(s)RNA_metabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0071966	fungal-type_cell_wall_polysaccharide_metabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0042783	evasion_of_host_immune_response	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0030970	retrograde_protein_transport,_ER_to_cytosol	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0051274	beta-glucan_biosynthetic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0051278	fungal-type_cell_wall_polysaccharide_biosynthetic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0009103	lipopolysaccharide_biosynthetic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0090292	nuclear_matrix_anchoring_at_nuclear_membrane	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0071947	protein_deubiquitination_involved_in_ubiquitin-dependent_protein_catabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0045943	positive_regulation_of_transcription_by_RNA_polymerase_I	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0048144	fibroblast_proliferation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0048145	regulation_of_fibroblast_proliferation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0048147	negative_regulation_of_fibroblast_proliferation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0072340	lactam_catabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0006074	(1->3)-beta-D-glucan_metabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0006075	(1->3)-beta-D-glucan_biosynthetic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0016999	antibiotic_metabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0072338	lactam_metabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0044650	adhesion_of_symbiont_to_host_cell	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1902414	protein_localization_to_cell_junction	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0009272	fungal-type_cell_wall_biogenesis	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0009243	O_antigen_biosynthetic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0043578	nuclear_matrix_organization	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0009245	lipid_A_biosynthetic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0044406	adhesion_of_symbiont_to_host	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0032978	protein_insertion_into_membrane_from_inner_side	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0032979	protein_insertion_into_mitochondrial_inner_membrane_from_matrix	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0046493	lipid_A_metabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0072695	regulation_of_DNA_recombination_at_telomere	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1900044	regulation_of_protein_K63-linked_ubiquitination	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0035871	protein_K11-linked_deubiquitination	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1900045	negative_regulation_of_protein_K63-linked_ubiquitination	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0048239	negative_regulation_of_DNA_recombination_at_telomere	1	1	0.04	0.04330
Drosophila	Group_1_+_Group_2	GO:0045132	meiotic_chromosome_segregation	64	11	2.63	0.00145
Drosophila	Group_1_+_Group_2	GO:0000819	sister_chromatid_segregation	140	11	5.75	0.02927
Drosophila	Group_1_+_Group_2	GO:0070192	chromosome_organization_involved_in_meiotic_cell_cycle	54	9	2.22	0.00849
Drosophila	Group_1_+_Group_2	GO:0007131	reciprocal_meiotic_recombination	37	7	1.52	0.00066
Drosophila	Group_1_+_Group_2	GO:0007143	female_meiotic_nuclear_division	54	6	2.22	0.02270
Drosophila	Group_1_+_Group_2	GO:0035967	cellular_response_to_topologically_incorrect_protein	44	5	1.81	0.03334
Drosophila	Group_1_+_Group_2	GO:0035966	response_to_topologically_incorrect_protein	47	5	1.93	0.04266
Drosophila	Group_1_+_Group_2	GO:0007141	male_meiosis_I	13	4	0.53	0.00150
Drosophila	Group_1_+_Group_2	GO:0140543	positive_regulation_of_piRNA_transcription	3	3	0.12	6.9e-05
Drosophila	Group_1_+_Group_2	GO:0010526	retrotransposon_silencing	8	3	0.33	0.00331
Drosophila	Group_1_+_Group_2	GO:0007130	synaptonemal_complex_assembly	10	3	0.41	0.00666
Drosophila	Group_1_+_Group_2	GO:0030719	P_granule_organization	11	3	0.45	0.00888
Drosophila	Group_1_+_Group_2	GO:0071218	cellular_response_to_misfolded_protein	12	3	0.49	0.01149
Drosophila	Group_1_+_Group_2	GO:0051788	response_to_misfolded_protein	12	3	0.49	0.01149
Drosophila	Group_1_+_Group_2	GO:0007135	meiosis_II	15	3	0.62	0.02169
Drosophila	Group_1_+_Group_2	GO:0034508	centromere_complex_assembly	19	3	0.78	0.04094
Drosophila	Group_1_+_Group_2	GO:0048136	male_germ-line_cyst_formation	2	2	0.08	0.00168
Drosophila	Group_1_+_Group_2	GO:0061964	negative_regulation_of_entry_into_reproductive_diapause	5	2	0.21	0.01551
Drosophila	Group_1_+_Group_2	GO:0051382	kinetochore_assembly	5	2	0.21	0.01551
Drosophila	Group_1_+_Group_2	GO:0055116	entry_into_reproductive_diapause	6	2	0.25	0.02264
Drosophila	Group_1_+_Group_2	GO:0071712	ER-associated_misfolded_protein_catabolic_process	6	2	0.25	0.02264
Drosophila	Group_1_+_Group_2	GO:0061963	regulation_of_entry_into_reproductive_diapause	6	2	0.25	0.02264
Drosophila	Group_1_+_Group_2	GO:0043984	histone_H4-K16_acetylation	6	2	0.25	0.02264
Drosophila	Group_1_+_Group_2	GO:0055115	entry_into_diapause	7	2	0.29	0.03084
Drosophila	Group_1_+_Group_2	GO:1990834	response_to_odorant	7	2	0.29	0.03084
Drosophila	Group_1_+_Group_2	GO:0051177	meiotic_sister_chromatid_cohesion	8	2	0.33	0.04002
Drosophila	Group_1_+_Group_2	GO:0042795	snRNA_transcription_by_RNA_polymerase_II	8	2	0.33	0.04002
Drosophila	Group_1_+_Group_2	GO:0022611	dormancy_process	8	2	0.33	0.04002
Drosophila	Group_1_+_Group_2	GO:0009301	snRNA_transcription	8	2	0.33	0.04002
Drosophila	Group_1_+_Group_2	GO:0045144	meiotic_sister_chromatid_segregation	8	2	0.33	0.04002
Drosophila	Group_1_+_Group_2	GO:0001015	snoRNA_transcription_by_RNA_polymerase_II	1	1	0.04	0.04109
Drosophila	Group_1_+_Group_2	GO:0010778	meiotic_DNA_repair_synthesis_involved_in_reciprocal_meiotic_recombination	1	1	0.04	0.04109
Drosophila	Group_1_+_Group_2	GO:0072765	centromere_localization	1	1	0.04	0.04109
Drosophila	Group_1_+_Group_2	GO:0009302	sno(s)RNA_transcription	1	1	0.04	0.04109
Drosophila	Group_1_+_Group_2	GO:0051308	male_meiosis_chromosome_separation	1	1	0.04	0.04109
Drosophila	Group_1_+_Group_2	GO:0098653	centromere_clustering	1	1	0.04	0.04109
Drosophila	Group_1_+_Group_2	GO:0051415	microtubule_nucleation_by_interphase_microtubule_organizing_center	1	1	0.04	0.04109
Mammalia	Group_1_+_Group_2	GO:0006955	immune_response	1297	145	48.02	0.00061
Mammalia	Group_1_+_Group_2	GO:0098542	defense_response_to_other_organism	853	112	31.58	0.02066
Mammalia	Group_1_+_Group_2	GO:0045087	innate_immune_response	647	82	23.95	8.5e-10
Mammalia	Group_1_+_Group_2	GO:0001817	regulation_of_cytokine_production	630	51	23.33	0.04660
Mammalia	Group_1_+_Group_2	GO:0042742	defense_response_to_bacterium	233	45	8.63	1.7e-07
Mammalia	Group_1_+_Group_2	GO:0006954	inflammatory_response	642	45	23.77	0.01735
Mammalia	Group_1_+_Group_2	GO:0019221	cytokine-mediated_signaling_pathway	382	44	14.14	3.9e-07
Mammalia	Group_1_+_Group_2	GO:0002250	adaptive_immune_response	342	44	12.66	1.3e-05
Mammalia	Group_1_+_Group_2	GO:0001819	positive_regulation_of_cytokine_production	402	41	14.88	0.02723
Mammalia	Group_1_+_Group_2	GO:0002697	regulation_of_immune_effector_process	308	37	11.4	0.04426
Mammalia	Group_1_+_Group_2	GO:0042110	T_cell_activation	432	35	15.99	0.02564
Mammalia	Group_1_+_Group_2	GO:0051607	defense_response_to_virus	257	34	9.52	1.9e-07
Mammalia	Group_1_+_Group_2	GO:0048232	male_gamete_generation	491	32	18.18	0.02255
Mammalia	Group_1_+_Group_2	GO:0007283	spermatogenesis	478	31	17.7	0.02801
Mammalia	Group_1_+_Group_2	GO:0070661	leukocyte_proliferation	273	29	10.11	0.01285
Mammalia	Group_1_+_Group_2	GO:0002449	lymphocyte_mediated_immunity	221	29	8.18	0.04833
Mammalia	Group_1_+_Group_2	GO:0070663	regulation_of_leukocyte_proliferation	212	25	7.85	0.01870
Mammalia	Group_1_+_Group_2	GO:0050727	regulation_of_inflammatory_response	300	24	11.11	0.00235
Mammalia	Group_1_+_Group_2	GO:0031349	positive_regulation_of_defense_response	240	24	8.89	0.01239
Mammalia	Group_1_+_Group_2	GO:0002768	immune_response-regulating_cell_surface_receptor_signaling_pathway	177	22	6.55	0.00336
Mammalia	Group_1_+_Group_2	GO:0050829	defense_response_to_Gram-negative_bacterium	66	17	2.44	1.7e-10
Mammalia	Group_1_+_Group_2	GO:0071222	cellular_response_to_lipopolysaccharide	164	17	6.07	0.00012
Mammalia	Group_1_+_Group_2	GO:0010466	negative_regulation_of_peptidase_activity	163	16	6.04	0.00036
Mammalia	Group_1_+_Group_2	GO:0002429	immune_response-activating_cell_surface_receptor_signaling_pathway	164	16	6.07	0.00243
Mammalia	Group_1_+_Group_2	GO:1903555	regulation_of_tumor_necrosis_factor_superfamily_cytokine_production	137	16	5.07	0.01244
Mammalia	Group_1_+_Group_2	GO:0071706	tumor_necrosis_factor_superfamily_cytokine_production	137	16	5.07	0.01244
Mammalia	Group_1_+_Group_2	GO:0070665	positive_regulation_of_leukocyte_proliferation	132	16	4.89	0.02765
Mammalia	Group_1_+_Group_2	GO:0045089	positive_regulation_of_innate_immune_response	113	16	4.18	0.03224
Mammalia	Group_1_+_Group_2	GO:0071356	cellular_response_to_tumor_necrosis_factor	175	15	6.48	0.00219
Mammalia	Group_1_+_Group_2	GO:0002695	negative_regulation_of_leukocyte_activation	148	15	5.48	0.01151
Mammalia	Group_1_+_Group_2	GO:0002456	T_cell_mediated_immunity	82	15	3.04	0.01605
Mammalia	Group_1_+_Group_2	GO:0002705	positive_regulation_of_leukocyte_mediated_immunity	113	15	4.18	0.01837
Mammalia	Group_1_+_Group_2	GO:0032680	regulation_of_tumor_necrosis_factor_production	133	15	4.92	0.03262
Mammalia	Group_1_+_Group_2	GO:0032640	tumor_necrosis_factor_production	133	15	4.92	0.03262
Mammalia	Group_1_+_Group_2	GO:0050866	negative_regulation_of_cell_activation	165	15	6.11	0.04048
Mammalia	Group_1_+_Group_2	GO:0031341	regulation_of_cell_killing	71	14	2.63	0.00628
Mammalia	Group_1_+_Group_2	GO:0001818	negative_regulation_of_cytokine_production	225	14	8.33	0.04065
Mammalia	Group_1_+_Group_2	GO:0050830	defense_response_to_Gram-positive_bacterium	87	13	3.22	1.8e-05
Mammalia	Group_1_+_Group_2	GO:0002286	T_cell_activation_involved_in_immune_response	94	13	3.48	0.02934
Mammalia	Group_1_+_Group_2	GO:0050909	sensory_perception_of_taste	52	13	1.93	0.04957
Mammalia	Group_1_+_Group_2	GO:0007259	cell_surface_receptor_signaling_pathway_via_JAK-STAT	134	12	4.96	0.00411
Mammalia	Group_1_+_Group_2	GO:0050851	antigen_receptor-mediated_signaling_pathway	130	12	4.81	0.01823
Mammalia	Group_1_+_Group_2	GO:0019731	antibacterial_humoral_response	40	11	1.48	1.4e-07
Mammalia	Group_1_+_Group_2	GO:0030101	natural_killer_cell_activation	66	11	2.44	2.7e-05
Mammalia	Group_1_+_Group_2	GO:0042102	positive_regulation_of_T_cell_proliferation	85	11	3.15	0.00029
Mammalia	Group_1_+_Group_2	GO:0050832	defense_response_to_fungus	48	11	1.78	0.00080
Mammalia	Group_1_+_Group_2	GO:0071346	cellular_response_to_type_II_interferon	98	11	3.63	0.00099
Mammalia	Group_1_+_Group_2	GO:0008584	male_gonad_development	120	11	4.44	0.00494
Mammalia	Group_1_+_Group_2	GO:0002820	negative_regulation_of_adaptive_immune_response	42	11	1.56	0.00768
Mammalia	Group_1_+_Group_2	GO:0043123	positive_regulation_of_canonical_NF-kappaB_signal_transduction	162	11	6	0.03860
Mammalia	Group_1_+_Group_2	GO:0042100	B_cell_proliferation	76	11	2.81	0.04485
Mammalia	Group_1_+_Group_2	GO:0001580	detection_of_chemical_stimulus_involved_in_sensory_perception_of_bitter_taste	29	10	1.07	4.7e-08
Mammalia	Group_1_+_Group_2	GO:0030593	neutrophil_chemotaxis	80	10	2.96	0.00071
Mammalia	Group_1_+_Group_2	GO:0006956	complement_activation	47	10	1.74	0.00078
Mammalia	Group_1_+_Group_2	GO:0032760	positive_regulation_of_tumor_necrosis_factor_production	84	10	3.11	0.00105
Mammalia	Group_1_+_Group_2	GO:0071347	cellular_response_to_interleukin-1	84	10	3.11	0.00105
Mammalia	Group_1_+_Group_2	GO:0050729	positive_regulation_of_inflammatory_response	122	10	4.52	0.01515
Mammalia	Group_1_+_Group_2	GO:0002823	negative_regulation_of_adaptive_immune_response_based_on_somatic_recombination_of_immune_receptors_built_from_immunoglobulin_superfamily_domains	39	10	1.44	0.03055
Mammalia	Group_1_+_Group_2	GO:0050688	regulation_of_defense_response_to_virus	62	10	2.3	0.03820
Mammalia	Group_1_+_Group_2	GO:0002718	regulation_of_cytokine_production_involved_in_immune_response	98	10	3.63	0.04352
Mammalia	Group_1_+_Group_2	GO:0002367	cytokine_production_involved_in_immune_response	98	10	3.63	0.04352
Mammalia	Group_1_+_Group_2	GO:0007339	binding_of_sperm_to_zona_pellucida	35	9	1.3	3.7e-06
Mammalia	Group_1_+_Group_2	GO:0061844	antimicrobial_humoral_immune_response_mediated_by_antimicrobial_peptide	64	9	2.37	0.00055
Mammalia	Group_1_+_Group_2	GO:0031640	killing_of_cells_of_another_organism	64	9	2.37	0.00055
Mammalia	Group_1_+_Group_2	GO:0050868	negative_regulation_of_T_cell_activation	96	9	3.55	0.00913
Mammalia	Group_1_+_Group_2	GO:0001910	regulation_of_leukocyte_mediated_cytotoxicity	59	9	2.18	0.01359
Mammalia	Group_1_+_Group_2	GO:0001959	regulation_of_cytokine-mediated_signaling_pathway	114	9	4.22	0.02562
Mammalia	Group_1_+_Group_2	GO:0030317	flagellated_sperm_motility	119	9	4.41	0.03259
Mammalia	Group_1_+_Group_2	GO:0097722	sperm_motility	119	9	4.41	0.03259
Mammalia	Group_1_+_Group_2	GO:0038061	non-canonical_NF-kappaB_signal_transduction	120	9	4.44	0.03413
Mammalia	Group_1_+_Group_2	GO:0072678	T_cell_migration	63	9	2.33	0.03601
Mammalia	Group_1_+_Group_2	GO:0060759	regulation_of_response_to_cytokine_stimulus	124	9	4.59	0.04078
Mammalia	Group_1_+_Group_2	GO:0060294	cilium_movement_involved_in_cell_motility	128	9	4.74	0.04826
Mammalia	Group_1_+_Group_2	GO:0007342	fusion_of_sperm_to_egg_plasma_membrane_involved_in_single_fertilization	25	8	0.93	2.1e-06
Mammalia	Group_1_+_Group_2	GO:0045071	negative_regulation_of_viral_genome_replication	39	8	1.44	7.5e-05
Mammalia	Group_1_+_Group_2	GO:0002218	activation_of_innate_immune_response	45	8	1.67	0.00022
Mammalia	Group_1_+_Group_2	GO:0032757	positive_regulation_of_interleukin-8_production	54	8	2	0.00078
Mammalia	Group_1_+_Group_2	GO:0030888	regulation_of_B_cell_proliferation	54	8	2	0.00078
Mammalia	Group_1_+_Group_2	GO:0032722	positive_regulation_of_chemokine_production	60	8	2.22	0.00158
Mammalia	Group_1_+_Group_2	GO:0010921	regulation_of_phosphatase_activity	65	8	2.41	0.00265
Mammalia	Group_1_+_Group_2	GO:0070098	chemokine-mediated_signaling_pathway	69	8	2.55	0.00385
Mammalia	Group_1_+_Group_2	GO:0002920	regulation_of_humoral_immune_response	36	8	1.33	0.00512
Mammalia	Group_1_+_Group_2	GO:0043303	mast_cell_degranulation	43	8	1.59	0.00550
Mammalia	Group_1_+_Group_2	GO:0002251	organ_or_tissue_specific_immune_response	22	8	0.81	0.00652
Mammalia	Group_1_+_Group_2	GO:0002886	regulation_of_myeloid_leukocyte_mediated_immunity	45	8	1.67	0.00784
Mammalia	Group_1_+_Group_2	GO:0043030	regulation_of_macrophage_activation	46	8	1.7	0.00922
Mammalia	Group_1_+_Group_2	GO:0002526	acute_inflammatory_response	83	8	3.07	0.01162
Mammalia	Group_1_+_Group_2	GO:0032649	regulation_of_type_II_interferon_production	88	8	3.26	0.01615
Mammalia	Group_1_+_Group_2	GO:0032609	type_II_interferon_production	88	8	3.26	0.01615
Mammalia	Group_1_+_Group_2	GO:0050691	regulation_of_defense_response_to_virus_by_host	37	8	1.37	0.04975
Mammalia	Group_1_+_Group_2	GO:0042267	natural_killer_cell_mediated_cytotoxicity	44	7	1.63	0.00107
Mammalia	Group_1_+_Group_2	GO:0048247	lymphocyte_chemotaxis	49	7	1.81	0.00204
Mammalia	Group_1_+_Group_2	GO:0042119	neutrophil_activation	32	7	1.18	0.00786
Mammalia	Group_1_+_Group_2	GO:0032945	negative_regulation_of_mononuclear_cell_proliferation	63	7	2.33	0.00845
Mammalia	Group_1_+_Group_2	GO:0002720	positive_regulation_of_cytokine_production_involved_in_immune_response	66	7	2.44	0.01083
Mammalia	Group_1_+_Group_2	GO:0035456	response_to_interferon-beta	26	7	0.96	0.01252
Mammalia	Group_1_+_Group_2	GO:0050853	B_cell_receptor_signaling_pathway	45	7	1.67	0.01683
Mammalia	Group_1_+_Group_2	GO:0098586	cellular_response_to_virus	78	7	2.89	0.02523
Mammalia	Group_1_+_Group_2	GO:0046425	regulation_of_receptor_signaling_pathway_via_JAK-STAT	78	7	2.89	0.02523
Mammalia	Group_1_+_Group_2	GO:0002385	mucosal_immune_response	19	7	0.7	0.03253
Mammalia	Group_1_+_Group_2	GO:0032755	positive_regulation_of_interleukin-6_production	83	7	3.07	0.03395
Mammalia	Group_1_+_Group_2	GO:1901222	regulation_of_non-canonical_NF-kappaB_signal_transduction	89	7	3.3	0.04679
Mammalia	Group_1_+_Group_2	GO:0048245	eosinophil_chemotaxis	17	6	0.63	2.2e-05
Mammalia	Group_1_+_Group_2	GO:0048240	sperm_capacitation	25	6	0.93	0.00024
Mammalia	Group_1_+_Group_2	GO:0070269	pyroptotic_inflammatory_response	26	6	0.96	0.00031
Mammalia	Group_1_+_Group_2	GO:0002230	positive_regulation_of_defense_response_to_virus_by_host	27	6	1	0.00038
Mammalia	Group_1_+_Group_2	GO:0031295	T_cell_costimulation	27	6	1	0.00038
Mammalia	Group_1_+_Group_2	GO:0002825	regulation_of_T-helper_1_type_immune_response	29	6	1.07	0.00058
Mammalia	Group_1_+_Group_2	GO:0002691	regulation_of_cellular_extravasation	38	6	1.41	0.00252
Mammalia	Group_1_+_Group_2	GO:0140374	antiviral_innate_immune_response	41	6	1.52	0.00374
Mammalia	Group_1_+_Group_2	GO:0002639	positive_regulation_of_immunoglobulin_production	44	6	1.63	0.00535
Mammalia	Group_1_+_Group_2	GO:0032731	positive_regulation_of_interleukin-1_beta_production	46	6	1.7	0.00667
Mammalia	Group_1_+_Group_2	GO:1904894	positive_regulation_of_receptor_signaling_pathway_via_STAT	46	6	1.7	0.00667
Mammalia	Group_1_+_Group_2	GO:0034113	heterotypic_cell-cell_adhesion	47	6	1.74	0.00742
Mammalia	Group_1_+_Group_2	GO:0002548	monocyte_chemotaxis	50	6	1.85	0.01000
Mammalia	Group_1_+_Group_2	GO:0001961	positive_regulation_of_cytokine-mediated_signaling_pathway	50	6	1.85	0.01000
Mammalia	Group_1_+_Group_2	GO:0030449	regulation_of_complement_activation	18	6	0.67	0.01079
Mammalia	Group_1_+_Group_2	GO:0042531	positive_regulation_of_tyrosine_phosphorylation_of_STAT_protein	51	6	1.89	0.01099
Mammalia	Group_1_+_Group_2	GO:0060337	type_I_interferon-mediated_signaling_pathway	52	6	1.93	0.01205
Mammalia	Group_1_+_Group_2	GO:0071357	cellular_response_to_type_I_interferon	52	6	1.93	0.01205
Mammalia	Group_1_+_Group_2	GO:0001914	regulation_of_T_cell_mediated_cytotoxicity	25	6	0.93	0.01256
Mammalia	Group_1_+_Group_2	GO:0051293	establishment_of_spindle_localization	54	6	2	0.01437
Mammalia	Group_1_+_Group_2	GO:0051873	killing_by_host_of_symbiont_cells	23	6	0.85	0.01626
Mammalia	Group_1_+_Group_2	GO:0060760	positive_regulation_of_response_to_cytokine_stimulus	57	6	2.11	0.01841
Mammalia	Group_1_+_Group_2	GO:0150077	regulation_of_neuroinflammatory_response	28	6	1.04	0.01949
Mammalia	Group_1_+_Group_2	GO:0034340	response_to_type_I_interferon	58	6	2.15	0.01991
Mammalia	Group_1_+_Group_2	GO:0051653	spindle_localization	59	6	2.18	0.02150
Mammalia	Group_1_+_Group_2	GO:0001895	retina_homeostasis	60	6	2.22	0.02316
Mammalia	Group_1_+_Group_2	GO:0071260	cellular_response_to_mechanical_stimulus	60	6	2.22	0.02316
Mammalia	Group_1_+_Group_2	GO:0050672	negative_regulation_of_lymphocyte_proliferation	62	6	2.3	0.02676
Mammalia	Group_1_+_Group_2	GO:0032729	positive_regulation_of_type_II_interferon_production	62	6	2.3	0.02676
Mammalia	Group_1_+_Group_2	GO:0042509	regulation_of_tyrosine_phosphorylation_of_STAT_protein	62	6	2.3	0.02676
Mammalia	Group_1_+_Group_2	GO:0007260	tyrosine_phosphorylation_of_STAT_protein	66	6	2.44	0.03500
Mammalia	Group_1_+_Group_2	GO:0002227	innate_immune_response_in_mucosa	11	5	0.41	2.6e-05
Mammalia	Group_1_+_Group_2	GO:0002830	positive_regulation_of_type_2_immune_response	14	5	0.52	0.00010
Mammalia	Group_1_+_Group_2	GO:0035455	response_to_interferon-alpha	14	5	0.52	0.00010
Mammalia	Group_1_+_Group_2	GO:0033005	positive_regulation_of_mast_cell_activation	17	5	0.63	0.00029
Mammalia	Group_1_+_Group_2	GO:0061760	antifungal_innate_immune_response	17	5	0.63	0.00029
Mammalia	Group_1_+_Group_2	GO:0035458	cellular_response_to_interferon-beta	21	5	0.78	0.00085
Mammalia	Group_1_+_Group_2	GO:0046596	regulation_of_viral_entry_into_host_cell	31	5	1.15	0.00523
Mammalia	Group_1_+_Group_2	GO:0007340	acrosome_reaction	32	5	1.18	0.00601
Mammalia	Group_1_+_Group_2	GO:0006968	cellular_defense_response	34	5	1.26	0.00782
Mammalia	Group_1_+_Group_2	GO:0001774	microglial_cell_activation	35	5	1.3	0.00885
Mammalia	Group_1_+_Group_2	GO:0002701	negative_regulation_of_production_of_molecular_mediator_of_immune_response	35	5	1.3	0.00885
Mammalia	Group_1_+_Group_2	GO:0140632	canonical_inflammasome_complex_assembly	35	5	1.3	0.00885
Mammalia	Group_1_+_Group_2	GO:0006953	acute-phase_response	38	5	1.41	0.01250
Mammalia	Group_1_+_Group_2	GO:0032653	regulation_of_interleukin-10_production	45	5	1.67	0.02467
Mammalia	Group_1_+_Group_2	GO:0032613	interleukin-10_production	45	5	1.67	0.02467
Mammalia	Group_1_+_Group_2	GO:0043666	regulation_of_phosphoprotein_phosphatase_activity	46	5	1.7	0.02686
Mammalia	Group_1_+_Group_2	GO:0032720	negative_regulation_of_tumor_necrosis_factor_production	47	5	1.74	0.02918
Mammalia	Group_1_+_Group_2	GO:0035306	positive_regulation_of_dephosphorylation	47	5	1.74	0.02918
Mammalia	Group_1_+_Group_2	GO:1903556	negative_regulation_of_tumor_necrosis_factor_superfamily_cytokine_production	49	5	1.81	0.03417
Mammalia	Group_1_+_Group_2	GO:0070228	regulation_of_lymphocyte_apoptotic_process	50	5	1.85	0.03686
Mammalia	Group_1_+_Group_2	GO:0072683	T_cell_extravasation	13	4	0.48	0.00102
Mammalia	Group_1_+_Group_2	GO:0002710	negative_regulation_of_T_cell_mediated_immunity	15	4	0.56	0.00183
Mammalia	Group_1_+_Group_2	GO:0072540	T-helper_17_cell_lineage_commitment	17	4	0.63	0.00301
Mammalia	Group_1_+_Group_2	GO:0045624	positive_regulation_of_T-helper_cell_differentiation	17	4	0.63	0.00301
Mammalia	Group_1_+_Group_2	GO:1903659	regulation_of_complement-dependent_cytotoxicity	5	4	0.19	0.00398
Mammalia	Group_1_+_Group_2	GO:0008228	opsonization	19	4	0.7	0.00462
Mammalia	Group_1_+_Group_2	GO:0043302	positive_regulation_of_leukocyte_degranulation	20	4	0.74	0.00561
Mammalia	Group_1_+_Group_2	GO:0001916	positive_regulation_of_T_cell_mediated_cytotoxicity	20	4	0.74	0.00561
Mammalia	Group_1_+_Group_2	GO:0001562	response_to_protozoan	21	4	0.78	0.00673
Mammalia	Group_1_+_Group_2	GO:0002717	positive_regulation_of_natural_killer_cell_mediated_immunity	21	4	0.78	0.00673
Mammalia	Group_1_+_Group_2	GO:1903901	negative_regulation_of_viral_life_cycle	21	4	0.78	0.00673
Mammalia	Group_1_+_Group_2	GO:0035821	modulation_of_process_of_another_organism	21	4	0.78	0.00673
Mammalia	Group_1_+_Group_2	GO:0043304	regulation_of_mast_cell_degranulation	23	4	0.85	0.00940
Mammalia	Group_1_+_Group_2	GO:0032740	positive_regulation_of_interleukin-17_production	23	4	0.85	0.00940
Mammalia	Group_1_+_Group_2	GO:0043032	positive_regulation_of_macrophage_activation	23	4	0.85	0.00940
Mammalia	Group_1_+_Group_2	GO:0070498	interleukin-1-mediated_signaling_pathway	24	4	0.89	0.01096
Mammalia	Group_1_+_Group_2	GO:0010922	positive_regulation_of_phosphatase_activity	26	4	0.96	0.01454
Mammalia	Group_1_+_Group_2	GO:0019884	antigen_processing_and_presentation_of_exogenous_antigen	28	4	1.04	0.01880
Mammalia	Group_1_+_Group_2	GO:0002446	neutrophil_mediated_immunity	29	4	1.07	0.02118
Mammalia	Group_1_+_Group_2	GO:0032743	positive_regulation_of_interleukin-2_production	30	4	1.11	0.02375
Mammalia	Group_1_+_Group_2	GO:2000352	negative_regulation_of_endothelial_cell_apoptotic_process	30	4	1.11	0.02375
Mammalia	Group_1_+_Group_2	GO:1900225	regulation_of_NLRP3_inflammasome_complex_assembly	30	4	1.11	0.02375
Mammalia	Group_1_+_Group_2	GO:0043330	response_to_exogenous_dsRNA	31	4	1.15	0.02649
Mammalia	Group_1_+_Group_2	GO:0032733	positive_regulation_of_interleukin-10_production	32	4	1.18	0.02942
Mammalia	Group_1_+_Group_2	GO:0046006	regulation_of_activated_T_cell_proliferation	32	4	1.18	0.02942
Mammalia	Group_1_+_Group_2	GO:0032814	regulation_of_natural_killer_cell_activation	32	4	1.18	0.02942
Mammalia	Group_1_+_Group_2	GO:0044546	NLRP3_inflammasome_complex_assembly	33	4	1.22	0.03252
Mammalia	Group_1_+_Group_2	GO:0050798	activated_T_cell_proliferation	34	4	1.26	0.03582
